date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
1/1/07,47.75621589,0,0,40.1694758,0,20.95280899,0,0,0,23.83536665,34.94208716,66.63591867,0,0,0,40.25793103,48.8372093,,0,0,34.23339844,0,0,32.63925039,0,1/1/07,31.04
1/2/07,84.89993936,0,0,23.43219422,0,38.41348315,0,0,0,22.2463422,42.49713303,39.74774096,0,0,21.26940703,23.98344828,0,,0,0,30.02929688,0,0,0,0,1/2/07,19.83
1/3/07,54.38902365,0,25.2014652,22.31637544,0,0,0,0,0,38.13658664,40.60837156,24.5500753,0,22.20027003,39.76454358,23.12689655,0,,0,0,19.21875,0,20.04528302,18.32378969,21.05627706,1/3/07,14.89
1/4/07,26.53123105,25.45454545,0,22.31637544,0,0,0,0,0,17.47926888,20.77637615,25.71912651,0,0,40.68930041,0,0,,0,0,0,0,0,18.32378969,21.05627706,1/4/07,12.07
1/5/07,0,0,0,22.31637544,0,0,0,0,0,39.72561108,0,74.81927711,0,0,20.34465021,0,0,,0,0,0,0,0,26.91306611,0,1/5/07,18.49
1/6/07,80.9202547,0,0,34.59038194,0,0,0,0,0,41.31463552,45.33027523,75.98832831,0,0,44.38832772,33.40551724,0,,0,0,28.22753906,0,0,54.97136908,0,1/6/07,34.44
1/7/07,39.79684657,0,0,0,0,17.46067416,0,24,0,61.97195328,0,73.6502259,35.74153846,0,0,32.54896552,0,,0,0,0,0,0,26.91306611,0,1/7/07,15.4
1/8/07,51.73590055,24.18181818,0,0,0,22.6988764,0,0,0,34.95853775,58.5516055,72.4811747,0,0,19.41989338,43.68413793,0,,24.35351882,0,18.01757813,0,0,17.17855284,0,1/8/07,27.76
1/9/07,25.2046695,0,0,0,0,10.47640449,0,13.33333333,0,77.86219772,18.88761468,23.3810241,22.33846154,0,47.1625982,21.4137931,0,,23.48375029,0,0,0,0,0,0,1/9/07,26.63
1/10/07,51.73590055,24.18181818,0,21.20055667,0,0,0,0,0,15.89024443,0,0,0,22.20027003,0,21.4137931,0,,0,24.21940928,55.85449219,0,0,17.75117127,0,1/10/07,25.33
1/11/07,51.73590055,0,0,22.31637544,0,10.47640449,0,0,0,28.60243998,19.83199541,37.40963855,0,44.40054005,19.41989338,22.27034483,0,,0,0,0,0,19.41886792,0,20.3982684,1/11/07,22.31
1/12/07,54.38902365,0,26.46153846,23.43219422,0,15.71460674,0,0,0,55.61585551,41.55275229,25.71912651,0,23.25742574,30.51697531,23.12689655,0,,25.22328735,0,19.21875,0,0,0,21.71428571,1/12/07,14.56
1/13/07,0,0,0,34.59038194,0,0,0,0,0,20.65731776,0,0,0,0,30.51697531,0,0,,0,38.05907173,29.42871094,0,0,28.05830297,0,1/13/07,22.98
1/14/07,0,0,0,35.70620071,44.30769231,0,0,0,0,20.65731776,0,80.66453313,37.97538462,0,0,0,0,,0,0,0,0,0,0,0,1/14/07,26.32
1/15/07,41.12340813,0,0,46.86438843,0,12.22247191,0,16,0,17.47926888,21.72075688,26.88817771,0,24.31458146,21.26940703,23.98344828,0,,25.22328735,0,30.02929688,0,0,18.89640812,0,1/15/07,30.05
1/16/07,25.2046695,0,23.94139194,0,0,0,0,0,0,38.13658664,0,23.3810241,0,42.28622862,46.23784138,0,0,,0,0,0,14.76363636,0,0,0,1/16/07,11.04
1/17/07,0,0,0,0,0,0,0,14.66666667,0,25.42439109,0,71.31212349,0,0,27.74270483,0,0,,0,22.48945148,0,0,18.79245283,0,0,1/17/07,22.97
